Lag,ACF,CI_lower,CI_upper
0,1.0,1.0,1.0
1,0.9791567216831655,0.949821728066089,1.008491715300242
2,0.9620156439689781,0.9119094845687128,1.0121218033692434
3,0.951681322515631,0.8876231801934251,1.0157394648378368
4,0.9408190215299752,0.8655712539413949,1.0160667891185555
5,0.9324475909826266,0.8476795115160665,1.0172156704491868
6,0.9258406258014331,0.8326631705528145,1.0190180810500518
7,0.917177602564613,0.8163940811876872,1.0179611239415387
8,0.9103300888441164,0.8026030301057525,1.0180571475824802
9,0.905465333160366,0.7913102511625386,1.0196204151581933
10,0.9020869731423037,0.7819102562426267,1.0222636900419806
11,0.8983670393131439,0.7724980839724762,1.0242359946538115
12,0.8915386506691075,0.760267871460188,1.022809429878027
13,0.8864906422543845,0.7501088045735534,1.0228724799352154
14,0.8840753851917401,0.7428219030195593,1.025328867363921
15,0.8786001124956725,0.7326627053376472,1.0245375196536979
16,0.8733356038256964,0.7229152029839645,1.0237560046674283
17,0.8702955568316842,0.7155732459751546,1.0250178676882138
18,0.8654885818928615,0.7066094864138293,1.0243676773718937
19,0.8615479828647874,0.6986621947076991,1.0244337710218756
20,0.858263208938796,0.6915020622322603,1.0250243556453318
21,0.8545373307114367,0.6840173688661572,1.0250572925567163
22,0.8498012532099877,0.6756350931547626,1.0239674132652128
23,0.8453989623404923,0.6677004737464847,1.0230974509344999
24,0.8421360659372337,0.6610095622262075,1.0232625696482598
25,0.8376898775764844,0.6532247287704304,1.0221550263825385
26,0.8332475240649125,0.6455373287298475,1.0209577193999775
27,0.8282918549088315,0.6374252304863091,1.019158479331354
28,0.8224602108818578,0.6285250471464648,1.016395374617251
29,0.817401745976546,0.6204879095758133,1.0143155823772787
30,0.8122700237734619,0.6124576280298961,1.0120824195170277
31,0.8092326332378181,0.60659864162419,1.0118666248514463
32,0.8048451142382614,0.5994489140566428,1.01024131441988
33,0.7998676492516775,0.5917751814019148,1.0079601171014403
34,0.7965361313702146,0.5858145038236695,1.0072577589167597
35,0.7922571024919354,0.578960173394953,1.0055540315889178
36,0.7874511929881529,0.5716367939445626,1.0032655920317433
37,0.7842863644349092,0.5660134541800838,1.0025592746897347
38,0.7808163031508223,0.560131662281513,1.0015009440201315
39,0.7759594791374419,0.5529101328689496,0.9990088254059342
40,0.7707962654987408,0.5454358920161468,0.9961566389813348
41,0.7669377319096468,0.5393199820949022,0.9945554817243913
42,0.7627427992007357,0.5329120565874608,0.9925735418140107
43,0.7575049775739299,0.5255061490515757,0.9895038060962841
44,0.7532616250652077,0.5191440520405741,0.9873791980898412
45,0.7494899819312693,0.5132960231079963,0.9856839407545422
46,0.7459039106339178,0.5076721337055539,0.9841356875622818
47,0.7426881491277736,0.5024550468550892,0.9829212514004579
48,0.7398696709064478,0.49766878617865806,0.9820705556342376
49,0.7358115203982706,0.4916734405089008,0.9799496002876403
50,0.7310871307238856,0.4850480509644661,0.9771262104833052
51,0.7283726133281756,0.4804711651074282,0.9762740615489229
52,0.7261435511149811,0.4764072725648858,0.9758798296650764
53,0.7228160390046848,0.47126940414645596,0.9743626738629136
54,0.720094113793327,0.46676643645159904,0.9734217911350549
55,0.7188837619148448,0.46380072609881406,0.9739667977308756
